==>> n_list:  ['3', '6', '2', '7', '9', '5', '1', '4', '8']
==>> n_list:  ['1', '7', '5', '8', '9', '6', '2', '4', '3']
==>> n_list:  ['6', '3', '5', '1', '9', '8', '2', '7', '4']
==>> n_list:  ['5', '7', '2', '3', '9', '8', '1', '6', '4']
==>> n_list:  ['5', '6', '3', '7', '8', '9', '4', '2', '1']
==>> n_list:  ['4', '6', '9', '5', '2', '1', '7', '8', '3']
==>> n_list:  ['4', '2', '7', '1', '3', '9', '5', '8', '6']
==>> n_list:  ['9', '3', '2', '8', '6', '4', '1', '7', '5']
==>> n_list:  ['2', '6', '3', '7', '9', '4', '8', '5', '1']
==>> n_list:  ['9', '1', '8', '5', '6', '7', '4', '3', '2']
==>> n_list:  ['9', '5', '7', '4', '6', '2', '8', '1', '3']
==>> n_list:  ['1', '9', '8', '4', '5', '7', '2', '6', '3']
==>> n_list:  ['5', '7', '8', '1', '9', '2', '4', '6', '3']
==>> n_list:  ['1', '2', '8', '5', '7', '6', '9', '4', '3']
==>> n_list:  ['2', '9', '3', '6', '1', '8', '5', '7', '4']
==>> n_list:  ['7', '5', '3', '4', '1', '8', '2', '9', '6']
==>> n_list:  ['4', '1', '8', '7', '6', '2', '3', '9', '5']
==>> n_list:  ['3', '8', '6', '7', '5', '4', '1', '9', '2']
==>> n_list:  ['3', '5', '2', '9', '8', '1', '4', '6', '7']
==>> n_list:  ['7', '3', '8', '2', '5', '6', '1', '4', '9']
==>> n_list:  ['2', '6', '1', '9', '7', '4', '3', '8', '5']
==>> n_list:  ['2', '7', '4', '5', '3', '9', '1', '6', '8']
==>> n_list:  ['6', '8', '3', '7', '5', '9', '2', '1', '4']
==>> n_list:  ['7', '9', '3', '2', '8', '1', '5', '4', '6']
==>> n_list:  ['3', '1', '9', '6', '2', '5', '8', '7', '4']
==>> n_list:  ['5', '4', '2', '6', '9', '1', '3', '8', '7']
==>> n_list:  ['6', '4', '9', '1', '3', '2', '8', '5', '7']
==>> n_list:  ['5', '6', '9', '8', '2', '4', '3', '1', '7']
==>> n_list:  ['2', '8', '6', '1', '4', '3', '9', '5', '7']
==>> n_list:  ['1', '9', '6', '4', '8', '3', '7', '2', '5']
==>> n_list:  ['9', '5', '4', '2', '3', '8', '6', '1', '7']
==>> n_list:  ['8', '4', '6', '7', '1', '5', '3', '2', '9']
==>> n_list:  ['2', '1', '4', '3', '7', '9', '5', '6', '8']
==>> n_list:  ['1', '9', '8', '3', '7', '2', '4', '5', '6']
==>> n_list:  ['1', '8', '2', '9', '4', '7', '5', '6', '3']
==>> n_list:  ['8', '9', '3', '1', '5', '7', '4', '2', '6']
==>> n_list:  ['9', '8', '1', '7', '5', '4', '2', '6', '3']
==>> n_list:  ['2', '9', '6', '5', '8', '7', '1', '3', '4']
==>> n_list:  ['6', '3', '8', '7', '1', '5', '9', '2', '4']
==>> n_list:  ['8', '6', '7', '5', '3', '4', '1', '9', '2']
==>> n_list:  ['2', '3', '7', '1', '6', '4', '5', '8', '9']
==>> n_list:  ['5', '2', '7', '9', '6', '3', '4', '1', '8']
==>> n_list:  ['5', '4', '2', '7', '6', '9', '3', '8', '1']
==>> n_list:  ['6', '7', '1', '5', '3', '2', '9', '8', '4']
==>> n_list:  ['8', '4', '2', '3', '7', '1', '6', '5', '9']
==>> n_list:  ['5', '4', '6', '9', '2', '1', '3', '7', '8']
==>> n_list:  ['7', '6', '2', '8', '1', '4', '3', '9', '5']
==>> n_list:  ['3', '7', '5', '8', '1', '2', '9', '4', '6']
==>> n_list:  ['2', '4', '5', '6', '7', '1', '8', '9', '3']
==>> n_list:  ['3', '9', '2', '7', '5', '4', '1', '6', '8']
==>> n_list:  ['4', '8', '1', '5', '2', '7', '3', '9', '6']
==>> n_list:  ['9', '1', '2', '6', '4', '8', '7', '5', '3']
==>> n_list:  ['3', '6', '1', '8', '4', '5', '9', '7', '2']
==>> n_list:  ['6', '2', '9', '5', '4', '1', '8', '3', '7']
==>> n_list:  ['2', '6', '3', '9', '4', '1', '5', '7', '8']
==>> n_list:  ['4', '1', '8', '9', '3', '6', '7', '5', '2']
==>> n_list:  ['2', '1', '7', '3', '6', '9', '4', '5', '8']
==>> n_list:  ['2', '4', '3', '5', '7', '1', '6', '9', '8']
==>> n_list:  ['4', '5', '3', '7', '6', '2', '8', '1', '9']
==>> n_list:  ['7', '3', '8', '4', '6', '2', '9', '1', '5']
==>> n_list:  ['4', '2', '5', '8', '6', '3', '9', '1', '7']
==>> n_list:  ['9', '5', '3', '6', '7', '4', '1', '8', '2']
==>> n_list:  ['1', '8', '7', '3', '4', '6', '9', '2', '5']
==>> n_list:  ['8', '3', '4', '2', '9', '7', '6', '5', '1']
==>> n_list:  ['6', '9', '3', '2', '7', '1', '4', '5', '8']
==>> n_list:  ['8', '4', '6', '1', '2', '9', '5', '7', '3']
==>> n_list:  ['5', '4', '9', '2', '1', '7', '3', '8', '6']
==>> n_list:  ['2', '4', '6', '1', '9', '5', '8', '7', '3']
==>> n_list:  ['2', '7', '8', '1', '6', '9', '5', '3', '4']
==>> n_list:  ['5', '9', '8', '3', '2', '4', '7', '6', '1']
==>> n_list:  ['4', '9', '1', '6', '5', '3', '8', '2', '7']
==>> n_list:  ['7', '6', '9', '2', '1', '8', '4', '3', '5']
==>> n_list:  ['1', '6', '3', '8', '9', '4', '5', '7', '2']
==>> n_list:  ['1', '4', '3', '8', '5', '9', '7', '2', '6']
==>> n_list:  ['4', '1', '9', '3', '5', '2', '6', '7', '8']
==>> n_list:  ['1', '9', '8', '2', '6', '7', '4', '3', '5']
==>> n_list:  ['8', '6', '2', '7', '4', '9', '3', '5', '1']
==>> n_list:  ['8', '2', '7', '1', '9', '4', '3', '5', '6']
==>> n_list:  ['4', '5', '2', '8', '6', '3', '9', '1', '7']
==>> n_list:  ['7', '4', '6', '2', '3', '5', '8', '9', '1']
==>> n_list:  ['5', '8', '4', '2', '1', '9', '7', '6', '3']
==>> n_list:  ['9', '4', '8', '2', '3', '5', '6', '1', '7']
==>> n_list:  ['6', '7', '2', '3', '9', '8', '1', '5', '4']
==>> n_list:  ['4', '7', '8', '2', '9', '6', '5', '1', '3']
==>> n_list:  ['1', '6', '5', '8', '7', '9', '4', '3', '2']
==>> n_list:  ['6', '8', '9', '4', '5', '3', '7', '1', '2']
==>> n_list:  ['1', '3', '4', '5', '2', '9', '7', '8', '6']
==>> n_list:  ['4', '5', '6', '1', '7', '9', '3', '8', '2']
==>> n_list:  ['2', '9', '5', '8', '7', '3', '6', '1', '4']
==>> n_list:  ['5', '8', '9', '3', '7', '1', '4', '2', '6']
==>> n_list:  ['1', '3', '6', '4', '8', '9', '7', '5', '2']
==>> n_list:  ['4', '1', '2', '7', '9', '8', '6', '5', '3']
==>> n_list:  ['9', '8', '1', '7', '2', '6', '3', '5', '4']
==>> n_list:  ['2', '3', '7', '8', '6', '4', '5', '9', '1']
==>> n_list:  ['3', '9', '1', '5', '4', '8', '6', '2', '7']
==>> n_list:  ['6', '2', '9', '5', '4', '8', '3', '7', '1']
==>> n_list:  ['4', '1', '2', '7', '6', '3', '9', '8', '5']
==>> n_list:  ['9', '2', '6', '4', '3', '1', '5', '7', '8']
==>> n_list:  ['7', '5', '6', '4', '8', '9', '3', '2', '1']
==>> n_list:  ['9', '8', '6', '1', '4', '3', '7', '5', '2']
==>> n_list:  ['5', '8', '3', '6', '4', '1', '9', '7', '2']
==>> n_list:  ['7', '5', '4', '9', '1', '3', '2', '6', '8']
==>> n_list:  ['5', '1', '8', '9', '2', '7', '4', '3', '6']
==>> n_list:  ['5', '8', '3', '6', '7', '9', '2', '4', '1']
==>> n_list:  ['2', '6', '9', '3', '5', '1', '7', '8', '4']
==>> n_list:  ['1', '4', '2', '5', '9', '3', '7', '6', '8']
==>> n_list:  ['3', '1', '6', '8', '4', '2', '7', '9', '5']
==>> n_list:  ['8', '6', '7', '1', '9', '5', '3', '2', '4']
==>> n_list:  ['8', '5', '3', '9', '1', '6', '7', '4', '2']
==>> n_list:  ['8', '9', '1', '2', '6', '4', '7', '3', '5']
==>> n_list:  ['3', '2', '9', '7', '6', '1', '5', '4', '8']
==>> n_list:  ['7', '2', '3', '8', '5', '4', '9', '6', '1']
==>> n_list:  ['6', '1', '8', '2', '9', '3', '4', '7', '5']
==>> n_list:  ['7', '2', '6', '1', '4', '9', '5', '8', '3']
==>> n_list:  ['4', '6', '2', '5', '7', '9', '8', '3', '1']
==>> n_list:  ['9', '2', '4', '6', '1', '5', '7', '3', '8']
==>> n_list:  ['5', '3', '6', '2', '1', '8', '9', '4', '7']
==>> n_list:  ['1', '8', '5', '7', '9', '4', '2', '6', '3']
==>> n_list:  ['3', '2', '5', '6', '9', '4', '1', '8', '7']
==>> n_list:  ['8', '4', '5', '1', '7', '3', '9', '6', '2']
==>> n_list:  ['6', '1', '3', '8', '2', '5', '4', '7', '9']
==>> n_list:  ['9', '2', '7', '4', '3', '5', '8', '1', '6']
==>> n_list:  ['2', '8', '7', '3', '1', '5', '9', '6', '4']
==>> n_list:  ['6', '7', '8', '5', '2', '4', '3', '1', '9']
==>> n_list:  ['9', '5', '1', '8', '3', '7', '2', '6', '4']
==>> n_list:  ['7', '6', '2', '8', '3', '4', '5', '1', '9']
==>> n_list:  ['3', '2', '7', '8', '9', '4', '6', '5', '1']
==>> n_list:  ['1', '8', '7', '4', '5', '9', '2', '3', '6']
==>> n_list:  ['1', '3', '7', '2', '4', '5', '8', '6', '9']
==>> n_list:  ['5', '4', '1', '7', '2', '8', '3', '6', '9']
==>> n_list:  ['2', '8', '9', '7', '4', '3', '6', '1', '5']
==>> n_list:  ['3', '2', '4', '7', '9', '8', '5', '6', '1']
==>> n_list:  ['8', '2', '9', '5', '1', '7', '3', '6', '4']
==>> n_list:  ['3', '1', '2', '7', '5', '8', '6', '4', '9']
==>> n_list:  ['5', '3', '7', '4', '1', '9', '6', '2', '8']
==>> n_list:  ['1', '6', '2', '4', '3', '5', '9', '7', '8']
==>> n_list:  ['1', '6', '7', '9', '4', '2', '5', '3', '8']
==>> n_list:  ['5', '1', '6', '2', '3', '7', '4', '9', '8']
==>> n_list:  ['4', '5', '9', '3', '6', '7', '8', '1', '2']
==>> n_list:  ['4', '9', '2', '1', '7', '6', '5', '8', '3']
==>> n_list:  ['1', '5', '3', '7', '2', '9', '4', '6', '8']
==>> n_list:  ['4', '8', '2', '6', '3', '1', '5', '7', '9']
==>> n_list:  ['8', '2', '7', '1', '3', '6', '4', '9', '5']
==>> n_list:  ['1', '8', '4', '6', '5', '7', '2', '3', '9']
==>> n_list:  ['2', '9', '6', '8', '3', '7', '1', '4', '5']
==>> n_list:  ['6', '2', '5', '1', '9', '3', '4', '8', '7']
==>> n_list:  ['3', '8', '6', '4', '1', '2', '5', '7', '9']
==>> n_list:  ['5', '8', '2', '1', '4', '9', '6', '3', '7']
==>> n_list:  ['9', '5', '2', '3', '8', '4', '6', '7', '1']
==>> n_list:  ['7', '3', '8', '2', '4', '1', '9', '5', '6']
==>> n_list:  ['6', '2', '1', '4', '8', '3', '9', '5', '7']
==>> n_list:  ['8', '1', '7', '5', '4', '3', '2', '9', '6']
==>> n_list:  ['4', '5', '7', '9', '6', '1', '3', '2', '8']
==>> n_list:  ['4', '8', '7', '5', '1', '6', '2', '9', '3']
==>> n_list:  ['5', '1', '8', '2', '7', '9', '6', '4', '3']
==>> n_list:  ['5', '2', '1', '6', '7', '9', '3', '8', '4']
==>> n_list:  ['1', '8', '7', '6', '3', '4', '9', '5', '2']
==>> n_list:  ['7', '9', '8', '3', '6', '5', '1', '2', '4']
==>> n_list:  ['8', '3', '5', '1', '2', '6', '7', '9', '4']
==>> n_list:  ['5', '8', '4', '7', '1', '2', '3', '6', '9']
==>> n_list:  ['7', '5', '6', '2', '4', '1', '3', '8', '9']
==>> n_list:  ['8', '7', '9', '2', '4', '5', '3', '1', '6']
==>> n_list:  ['2', '9', '6', '8', '3', '5', '7', '4', '1']
==>> n_list:  ['5', '3', '7', '9', '8', '1', '6', '4', '2']
==>> n_list:  ['4', '5', '8', '2', '6', '7', '3', '1', '9']
==>> n_list:  ['9', '4', '8', '2', '6', '1', '3', '5', '7']
==>> n_list:  ['5', '9', '1', '7', '8', '2', '6', '4', '3']
==>> n_list:  ['4', '8', '2', '5', '3', '1', '6', '9', '7']
==>> n_list:  ['6', '2', '1', '5', '7', '3', '8', '9', '4']
==>> n_list:  ['4', '5', '1', '2', '9', '3', '8', '7', '6']
==>> n_list:  ['3', '2', '9', '1', '8', '6', '4', '5', '7']
==>> n_list:  ['7', '5', '1', '4', '3', '9', '6', '2', '8']
==>> n_list:  ['2', '3', '8', '6', '9', '7', '5', '1', '4']
==>> n_list:  ['5', '4', '8', '2', '3', '7', '6', '1', '9']
==>> n_list:  ['3', '6', '5', '7', '9', '8', '2', '4', '1']
==>> n_list:  ['5', '1', '3', '8', '7', '2', '6', '4', '9']
==>> n_list:  ['5', '7', '8', '3', '1', '9', '4', '2', '6']
==>> n_list:  ['8', '6', '3', '9', '7', '2', '5', '1', '4']
==>> n_list:  ['9', '6', '2', '8', '1', '7', '3', '5', '4']
==>> n_list:  ['4', '8', '7', '6', '5', '2', '1', '9', '3']
==>> n_list:  ['3', '1', '4', '5', '9', '7', '6', '2', '8']
==>> n_list:  ['7', '5', '4', '1', '3', '2', '9', '6', '8']
==>> n_list:  ['2', '7', '4', '6', '9', '1', '3', '8', '5']
==>> n_list:  ['3', '5', '8', '6', '4', '9', '1', '2', '7']
==>> n_list:  ['6', '7', '5', '3', '2', '1', '9', '4', '8']
==>> n_list:  ['9', '1', '2', '6', '3', '4', '8', '7', '5']
==>> n_list:  ['3', '2', '7', '6', '1', '4', '8', '9', '5']
==>> n_list:  ['6', '3', '8', '5', '9', '4', '1', '7', '2']
==>> n_list:  ['2', '3', '8', '5', '9', '1', '6', '4', '7']
==>> n_list:  ['3', '9', '5', '8', '7', '6', '4', '2', '1']
==>> n_list:  ['9', '8', '4', '7', '3', '5', '6', '2', '1']
==>> n_list:  ['7', '3', '5', '9', '4', '6', '1', '2', '8']
==>> n_list:  ['9', '3', '7', '5', '6', '1', '2', '8', '4']
==>> n_list:  ['7', '9', '4', '5', '1', '8', '3', '2', '6']
==>> n_list:  ['2', '4', '5', '6', '3', '1', '8', '9', '7']
==>> n_list:  ['3', '5', '2', '6', '4', '1', '9', '8', '7']
==>> n_list:  ['2', '1', '5', '8', '3', '4', '9', '7', '6']
==>> n_list:  ['7', '3', '2', '9', '8', '1', '5', '4', '6']
==>> n_list:  ['4', '9', '5', '8', '6', '2', '3', '7', '1']
==>> n_list:  ['1', '4', '8', '3', '2', '5', '6', '9', '7']
==>> n_list:  ['9', '8', '6', '4', '5', '3', '2', '7', '1']
==>> n_list:  ['7', '4', '9', '8', '6', '2', '1', '3', '5']
==>> n_list:  ['3', '7', '8', '5', '1', '4', '9', '2', '6']
==>> n_list:  ['3', '1', '8', '5', '6', '4', '2', '7', '9']
==>> n_list:  ['7', '3', '4', '8', '5', '6', '2', '1', '9']
==>> n_list:  ['3', '7', '1', '2', '6', '5', '4', '9', '8']
==>> n_list:  ['1', '2', '6', '9', '3', '4', '7', '8', '5']
==>> n_list:  ['1', '5', '4', '9', '8', '6', '3', '7', '2']
==>> n_list:  ['9', '2', '7', '1', '5', '3', '4', '6', '8']
==>> n_list:  ['9', '2', '1', '8', '5', '6', '4', '7', '3']
==>> n_list:  ['9', '5', '6', '2', '7', '3', '1', '4', '8']
==>> n_list:  ['5', '2', '6', '3', '7', '9', '1', '8', '4']
==>> n_list:  ['2', '4', '3', '6', '1', '9', '8', '7', '5']
==>> n_list:  ['9', '8', '5', '4', '3', '6', '7', '2', '1']
==>> n_list:  ['2', '3', '8', '9', '4', '7', '6', '5', '1']
==>> n_list:  ['5', '7', '6', '8', '9', '2', '3', '1', '4']
==>> n_list:  ['1', '4', '8', '2', '5', '3', '7', '6', '9']
==>> n_list:  ['9', '4', '8', '3', '2', '5', '6', '7', '1']
==>> n_list:  ['6', '7', '8', '2', '4', '1', '9', '5', '3']
==>> n_list:  ['6', '1', '4', '3', '8', '7', '5', '2', '9']
==>> n_list:  ['4', '2', '7', '3', '1', '8', '9', '6', '5']
==>> n_list:  ['8', '2', '7', '9', '1', '4', '5', '6', '3']
==>> n_list:  ['8', '2', '5', '3', '6', '7', '1', '4', '9']
==>> n_list:  ['2', '7', '3', '8', '6', '9', '5', '1', '4']
==>> n_list:  ['9', '7', '6', '5', '1', '2', '4', '3', '8']
==>> n_list:  ['7', '2', '4', '3', '5', '1', '8', '9', '6']
==>> n_list:  ['8', '9', '7', '4', '5', '6', '3', '2', '1']
==>> n_list:  ['5', '2', '9', '8', '6', '4', '1', '7', '3']
==>> n_list:  ['8', '7', '3', '1', '5', '2', '9', '6', '4']
==>> n_list:  ['6', '4', '9', '8', '7', '3', '2', '1', '5']
==>> n_list:  ['2', '7', '6', '8', '4', '1', '9', '5', '3']
==>> n_list:  ['7', '4', '2', '9', '5', '8', '6', '3', '1']
==>> n_list:  ['6', '2', '7', '4', '1', '8', '3', '9', '5']
==>> n_list:  ['2', '3', '8', '7', '5', '9', '4', '6', '1']
==>> n_list:  ['7', '1', '2', '6', '8', '5', '9', '4', '3']
==>> n_list:  ['6', '9', '3', '4', '7', '1', '5', '8', '2']
==>> n_list:  ['3', '1', '2', '5', '9', '7', '8', '4', '6']
==>> n_list:  ['4', '2', '7', '1', '3', '6', '9', '8', '5']
==>> n_list:  ['2', '5', '1', '9', '6', '7', '4', '3', '8']
==>> n_list:  ['5', '8', '3', '1', '4', '6', '2', '9', '7']
==>> n_list:  ['4', '3', '1', '5', '9', '6', '7', '8', '2']
==>> n_list:  ['6', '3', '7', '5', '1', '9', '4', '8', '2']
==>> n_list:  ['5', '8', '1', '6', '9', '7', '4', '2', '3']
==>> n_list:  ['7', '9', '2', '6', '1', '8', '5', '3', '4']
==>> n_list:  ['4', '1', '7', '9', '8', '3', '6', '5', '2']
==>> n_list:  ['2', '8', '3', '1', '5', '4', '7', '9', '6']
==>> n_list:  ['6', '4', '5', '1', '2', '7', '3', '9', '8']
         44151 function calls (44150 primitive calls) in 0.028 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.001    0.000    0.026    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.027    0.027 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <timeit-src>:1(<module>)
        1    0.000    0.000    0.026    0.026 <timeit-src>:2(inner)
     4000    0.003    0.000    0.004    0.000 cp1252.py:18(encode)
     1000    0.002    0.000    0.025    0.000 main.py:5(generateCsvLine)
     1000    0.002    0.000    0.002    0.000 main.py:9(<listcomp>)
     8000    0.006    0.000    0.008    0.000 random.py:239(_randbelow_with_getrandbits)
     1000    0.005    0.000    0.013    0.000 random.py:380(shuffle)
        1    0.000    0.000    0.001    0.001 timeit.py:102(__init__)
        1    0.000    0.000    0.027    0.027 timeit.py:164(timeit)
        1    0.000    0.000    0.027    0.027 timeit.py:231(timeit)
        1    0.000    0.000    0.000    0.000 timeit.py:80(reindent)
     4000    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      2/1    0.000    0.000    0.028    0.028 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1000    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1000    0.004    0.000    0.008    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method gc.disable}
        1    0.000    0.000    0.000    0.000 {built-in method gc.enable}
        1    0.000    0.000    0.000    0.000 {built-in method gc.isenabled}
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
     8000    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    13128    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     1000    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}


None
